c_t,o_t,o,h,l,c,v
2022-10-01 18:30:00,2022-10-01 18:25:00,19263.32,19264.56,19236.61,19253.97,455.46767
2022-10-01 18:35:00,2022-10-01 18:30:00,19254.51,19265.96,19245.0,19263.71,485.46816
2022-10-01 18:40:00,2022-10-01 18:35:00,19262.77,19268.25,19252.67,19260.53,369.61266
2022-10-01 18:45:00,2022-10-01 18:40:00,19260.71,19284.32,19258.0,19279.11,505.56342
2022-10-01 18:50:00,2022-10-01 18:45:00,19278.12,19297.94,19264.4,19296.22,633.20048
2022-10-01 18:55:00,2022-10-01 18:50:00,19296.22,19304.44,19285.92,19301.75,574.94305
2022-10-01 19:00:00,2022-10-01 18:55:00,19301.75,19310.0,19291.78,19298.73,628.62966
2022-10-01 19:05:00,2022-10-01 19:00:00,19298.73,19315.0,19290.0,19307.65,562.63645
2022-10-01 19:10:00,2022-10-01 19:05:00,19307.65,19308.67,19297.87,19301.15,379.78066
2022-10-01 19:15:00,2022-10-01 19:10:00,19301.15,19328.0,19295.18,19309.03,509.50815
2022-10-01 19:20:00,2022-10-01 19:15:00,19309.03,19314.01,19302.1,19310.48,256.64587
2022-10-01 19:25:00,2022-10-01 19:20:00,19310.48,19317.62,19301.2,19307.66,436.67865
2022-10-01 19:30:00,2022-10-01 19:25:00,19308.14,19315.14,19303.56,19306.93,314.96691
2022-10-01 19:35:00,2022-10-01 19:30:00,19307.41,19307.61,19288.03,19295.63,518.00871
2022-10-01 19:40:00,2022-10-01 19:35:00,19296.64,19301.21,19234.7,19241.38,1172.80029
2022-10-01 19:45:00,2022-10-01 19:40:00,19240.2,19251.2,19212.95,19241.41,1077.78896
2022-10-01 19:50:00,2022-10-01 19:45:00,19240.64,19288.33,19231.5,19275.98,647.18269
2022-10-01 19:55:00,2022-10-01 19:50:00,19275.97,19292.94,19273.07,19285.01,475.77148
2022-10-01 20:00:00,2022-10-01 19:55:00,19285.01,19285.84,19264.5,19266.15,439.40195
2022-10-01 20:05:00,2022-10-01 20:00:00,19266.15,19267.08,19241.57,19244.65,511.93202
2022-10-01 20:10:00,2022-10-01 20:05:00,19244.65,19254.26,19200.0,19225.59,1110.43988
2022-10-01 20:15:00,2022-10-01 20:10:00,19224.58,19236.96,19210.17,19227.27,585.58506
2022-10-01 20:20:00,2022-10-01 20:15:00,19228.49,19246.74,19219.26,19234.51,511.33871
2022-10-01 20:25:00,2022-10-01 20:20:00,19234.51,19252.86,19232.55,19240.16,535.82524
2022-10-01 20:30:00,2022-10-01 20:25:00,19240.16,19259.46,19238.82,19253.11,406.59051
2022-10-01 20:35:00,2022-10-01 20:30:00,19252.05,19253.16,19235.0,19249.66,389.30997
2022-10-01 20:40:00,2022-10-01 20:35:00,19249.66,19249.95,19234.24,19242.49,326.77446
2022-10-01 20:45:00,2022-10-01 20:40:00,19242.3,19281.4,19239.6,19269.0,751.18169
2022-10-01 20:50:00,2022-10-01 20:45:00,19269.0,19269.32,19255.36,19258.13,310.2018
2022-10-01 20:55:00,2022-10-01 20:50:00,19258.13,19270.76,19251.2,19253.43,272.91218
2022-10-01 21:00:00,2022-10-01 20:55:00,19253.43,19258.29,19243.15,19250.25,235.58678
2022-10-01 21:05:00,2022-10-01 21:00:00,19250.95,19261.54,19248.87,19259.68,269.59853
2022-10-01 21:10:00,2022-10-01 21:05:00,19260.3,19262.33,19244.58,19250.17,238.35668
2022-10-01 21:15:00,2022-10-01 21:10:00,19250.93,19266.13,19248.68,19264.39,203.12279
2022-10-01 21:20:00,2022-10-01 21:15:00,19263.93,19270.5,19257.23,19270.01,222.61293
2022-10-01 21:25:00,2022-10-01 21:20:00,19270.01,19274.9,19260.06,19263.58,253.52436
2022-10-01 21:30:00,2022-10-01 21:25:00,19263.79,19297.12,19262.0,19288.5,384.5166
2022-10-01 21:35:00,2022-10-01 21:30:00,19289.17,19300.98,19282.58,19295.66,177.35892
2022-10-01 21:40:00,2022-10-01 21:35:00,19295.66,19299.84,19286.83,19293.23,205.9926
2022-10-01 21:45:00,2022-10-01 21:40:00,19293.23,19299.69,19286.73,19298.1,233.50392
2022-10-01 21:50:00,2022-10-01 21:45:00,19298.1,19319.87,19290.0,19294.34,306.7036
2022-10-01 21:55:00,2022-10-01 21:50:00,19294.34,19299.58,19291.45,19296.01,77.90328
2022-10-01 22:00:00,2022-10-01 21:55:00,19295.26,19297.12,19280.07,19288.42,190.97592
2022-10-01 22:05:00,2022-10-01 22:00:00,19288.42,19300.0,19270.0,19288.44,544.57636
2022-10-01 22:10:00,2022-10-01 22:05:00,19288.44,19309.99,19273.76,19301.21,565.37746
2022-10-01 22:15:00,2022-10-01 22:10:00,19302.18,19315.0,19280.09,19296.93,435.74694
2022-10-01 22:20:00,2022-10-01 22:15:00,19295.86,19301.62,19282.28,19289.19,386.66203
2022-10-01 22:25:00,2022-10-01 22:20:00,19289.19,19310.87,19284.47,19301.31,535.24461
2022-10-01 22:30:00,2022-10-01 22:25:00,19301.31,19325.44,19300.21,19316.43,584.30992
2022-10-01 22:35:00,2022-10-01 22:30:00,19316.43,19324.0,19306.24,19321.66,416.78665
